n	subject	id	task	num	answer	flags	question_short
37	jit	209	pt	26	B	khop_dap_an	ある音をコンピュータのファイルに記録するとき、符号化ビット数（量子化ビット数）を大きくするとどうなるか。
38	jit	210	pt	27	A	khop_dap_an	（  ）とは、数値を扱う際に「基となる数」のことである。
39	jit	211	pt	28	D	domain_shell|vai_tro_stub|khop_dap_an	「プロキシサーバ」はベトナム語で何と言いますか。
40	jit	212	pt	29	B	domain_shell|vai_tro_stub|khop_dap_an	「CRC」は英語でなんですか。
41	jit	213	pt	30	D	domain_shell|vai_tro_stub|khop_dap_an	電源が切れたとき、データが消えてしまうものは何ですか。
42	jit	215	pt	32	C	khop_dap_an	見かけ上の記憶容量を実際のメモリ容量より大きくし、大きなメモリ空間を確保することを何と言いますか。
43	jit	216	pt	33	A	khop_dap_an	ぎざぎざの少ないきれいな画像を得るには何を増やすとよいか。
44	jit	217	pt	34	A	domain_shell|vai_tro_stub|khop_dap_an	10進数のマイナス5を、2の補数表現で8ビットの2進数で表すとどうなるか。
45	jit	218	pt	35	C	khop_dap_an	音声を圧縮する際によく使われる、波を正弦波に分解する変換は何ですか。
46	jit	219	pt	36	B	domain_shell|vai_tro_stub|khop_dap_an	2進数100001を3倍したものはどれか。
47	jit	220	pt	37	B	khop_dap_an	装置Aと装置Bが直列につながっているシステムを何と言いますか。
48	jit	221	pt	38	B	khop_dap_an	装置Aと装置Bが並列につながっているシステムを何と言いますか。
49	jit	222	pt	39	D	domain_shell|vai_tro_stub|khop_dap_an	イラストなどに使われる、最大表示色が256色の静止画圧縮形式はどれか。
50	jit	223	pt	40	B	khop_dap_an	波の高さの最大値をいくつの段階で表すかを何と言いますか。
51	jit	224	pt	41	C	domain_shell|vai_tro_stub|khop_dap_an	2バイトで1文字を表すとき、何種類の文字まで表せるか。
52	jit	225	pt	42	A	domain_shell|vai_tro_stub|khop_dap_an	10進数155を2進数で表したものはどれか。
53	jit	226	pt	43	A	domain_shell|vai_tro_stub|khop_dap_an	2進数1.111を10進数で表現したものはどれか。
54	jit	227	pt	44	C	domain_shell|vai_tro_stub|khop_dap_an	MIDI命令のデータ段階（取りうる値の数）として適切なものはどれか。
55	jit	228	pt	45	C	khop_dap_an	「小文字」はどのように読みますか。ベトナム語で何ですか。
56	jit	230	pt	47	D	khop_dap_an	データの（  ）と（  ）の対応を決めているのが文字コードです。
57	jit	232	pt	49	C	domain_shell|vai_tro_stub	圧縮・解凍ソフトでファイルを圧縮したとき、圧縮方式によって付けられる拡張子として正しいものはどれですか。
58	jit	233	pt	50	C	domain_shell|vai_tro_stub|khop_dap_an	動画像では、静止画圧縮と差分記録を組み合わせて圧縮率を高めた形式としてよく用いられるものは何ですか。
59	jit	234	pt	51	B	khop_dap_an	「sóng hình sin」は日本語の漢字でどのように書きますか。どのように読みますか。
60	jit	235	pt	52	A	domain_shell|vai_tro_stub|khop_dap_an	ネットワークのデータ伝送速度を表す単位はどれか。
61	jit	236	pt	53	A	khop_dap_an	「帯域幅」はどのように読みますか。ベトナム語で何ですか。
62	jit	237	pt	54	D	domain_shell|vai_tro_stub|khop_dap_an	「マス目」はベトナム語で何ですか。
63	jit	238	pt	55	A	khop_dap_an	「PLC」はベトナム語で何ですか。
64	jit	239	pt	56	A	khop_dap_an	個人のパソコンをねらった（  ）としてウイルスが代表的です。
65	jit	240	pt	57	B	khop_dap_an	ウィルスに感染するのを避けるために、何をしますか。
66	jit	241	pt	58	B	khop_dap_an	国際標準の携帯電話で利用できるアプリケーションを決定するのが何と呼ぶソフトウェアですか。
67	jit	242	pt	59	C	khop_dap_an	「周波数帯」はどのように読みますか。ベトナム語で何ですか。
68	jit	243	pt	60	A	khop_dap_an	LSIは日本語で何ですか。
69	jit	244	pt	61	A	khop_dap_an	A3サイズ（29.7cm×42.0cm）を350 dpiで印刷する場合の画素数の計算で使う関係はどれか。
70	jit	245	pt	62	B	khop_dap_an	「số nguyên tố」は日本語で何ですか。
71	jit	246	pt	63	D	domain_shell|vai_tro_stub|khop_dap_an	「サイマル放送」はベトナム語で何ですか。
72	jit	248	pt	65	A	domain_shell|vai_tro_stub|khop_dap_an	次の説明する文書は ただしですか。（Phần thuyết minh về từ vựng được cho là đúng hay sai?） 認証とは公開鍵方式と秘密鍵方式により暗号化した状態で情報通信を行うこと。
73	jit	249	pt	66	A	khop_dap_an	OSIのセッション層（第5層）の主な役割として、最も適切なものはどれですか。
74	jit	251	pt	68	A	domain_shell|vai_tro_stub|khop_dap_an	マザーボードとケーブルで接続された箱は何ですか。
75	jit	252	pt	69	A	domain_shell|vai_tro_stub|khop_dap_an	クロック周波数 3 GHz のプロセッサにおいて、1つの命令が6クロックで実行できるとき、1命令の実行に必要な時間は何ナノ秒か。
76	jit	253	pt	70	C	domain_shell|vai_tro_stub|khop_dap_an	出力装置は何がありますか。
77	jit	254	pt	71	B	khop_dap_an	「ROM」とは何ですか。
78	jit	255	pt	72	B	khop_dap_an	チューリングマシンは何から構造されますか。
79	jit	256	pt	73	D	domain_shell|vai_tro_stub|khop_dap_an	故障以外で問題なのは、( ) による不具合です。
80	jit	257	pt	74	C	khop_dap_an	「bộ vi xử lý」は日本語でなんですか。
81	jit	258	pt	75	A	khop_dap_an	AさんがBさんに電子文書を送信し、Bさんがその文書の送信者を確認する方法について、本文の内容に基づき、正しく説明しているものはどれか。
82	jit	259	pt	76	A	khop_dap_an	Aさんは、Bさんに機密文書を電子メールで送信するため、公開鍵暗号方式を用いて文書を暗号化することにした。このとき、Aさんが文書を暗号化するために使用するべき鍵はどれか。
83	jit	260	pt	77	D	khop_dap_an	コンピュータウイルスの予防策として、最も適切なものはどれですか。
84	jit	261	pt	78	D	khop_dap_an	CPUについて正しくないものをえらんでください。
85	jit	263	pt	80	D	domain_shell|vai_tro_stub|khop_dap_an	以下のメモリ部品の中で、アクセス速度が一番速いのはどちらですか。
86	jit	264	pt	81	B	domain_shell|vai_tro_stub|khop_dap_an	記憶装置は何が該当しますか。
87	jit	265	pt	82	A	domain_shell|vai_tro_stub|khop_dap_an	「DoS」はベトナム語で何ですか。
88	jit	266	pt	83	A	domain_shell|vai_tro_stub|khop_dap_an	ある企業のデータセンターには、重要な役割を果たすサーバーがあります。このサーバーの稼働データを分析したところ、平均故障間隔が500時間、平均修復時間が10時間であることがわかりました。このサーバーの稼働率はいくつか。
89	jit	268	pt	85	B	khop_dap_an	「工業所有権」に属しているものはどの有権ですか。
90	jit	269	pt	86	C	khop_dap_an	「bước đệm」は日本語で何ですか。
91	jit	270	pt	87	D	domain_shell|vai_tro_stub|khop_dap_an	「RAM」は英語で何ですか。
92	jit	271	pt	88	C	khop_dap_an	OSIにおいて、「隣接機器間転送」の機能は主にどの階層が担当しますか。
93	jit	272	pt	89	B	khop_dap_an	「通信制御」はどのように読みますか。ベトナム語で何ですか。
94	jit	274	pt	91	D	domain_shell|vai_tro_stub|khop_dap_an	メモリ空間には、番地が割り当てられるところは何と呼ばれましたか。
95	jit	275	pt	92	B	khop_dap_an	コンピュータウィルスについて正しくないものをえらんでください。
96	jit	277	pt	94	C	khop_dap_an	「_」のキーボードの記号はどのように読みますか。
97	jit	279	pt	96	B	domain_shell|vai_tro_stub|khop_dap_an	「バス」はベトナム語で何ですか。
98	jit	280	pt	97	C	khop_dap_an	「転置式」はどのように読みますか。ベトナム語で何ですか。
99	jit	281	pt	98	C	khop_dap_an	ある回路の入力Xと出力Yの関係が、Y = NOT X で表されるとき、この回路は何回路と呼ばれますか。
100	jit	283	pt	100	B	domain_shell|vai_tro_stub|khop_dap_an	「流通過程」はベトナム語で何ですか。
101	jit	284	pt	101	A	domain_shell|vai_tro_stub|khop_dap_an	「ブロードバンド」は英語で何ですか。ベトナム語で何ですか。
102	jit	286	pt	103	C	domain_shell|vai_tro_stub|khop_dap_an	NTTドコモのFOMAの商品は何世代携帯電話のものですか。
103	jit	287	pt	104	C	domain_shell|vai_tro_stub|khop_dap_an	「EDI」は英語でどの言葉に略されましたか。
104	jit	288	pt	105	C	domain_shell|vai_tro_stub|khop_dap_an	ある会社のシステムは、3つの装置A、B、Cで構成されています。AとBは並列接続され、それらがCと直列接続されています。各装置の稼働率はそれぞれ0.9、0.9、0.95であるとき、システム全体の稼働率はいくつか。
105	jit	289	pt	106	C	khop_dap_an	指先とのセンサの間に蓄えられる電荷を測定する方式は何の方式ですか。
106	jit	290	pt	107	D	khop_dap_an	「単結晶」はどのように読みますか。また、ベトナム語で何ですか。
107	jit	291	pt	108	C	khop_dap_an	コンピュータのCPUにおいて、バスの主な役割として最も適切なものはどれか。
108	jit	292	pt	109	B	khop_dap_an	Chọn cách gọi tên đúng của hệ thống trong hình
109	jit	5	quiz	5	C	khop_dap_an	電子式計算機ENIACが開発された年はいつか。
110	jit	6	quiz	6	C	khop_dap_an	フォン・ノイマンのプログラム内蔵方式コンピュータが登場したのはいつか。
111	jit	8	quiz	8	C	khop_dap_an	コンピュータを1つの式で表すと何になるか。
112	jit	11	quiz	11	C	domain_shell|vai_tro_stub|khop_dap_an	Excelファイルの拡張子はどれか。
113	jit	12	quiz	12	D	khop_dap_an	ファイルの種類を識別するために、ファイル名に付けられる（ ）のことを拡張子という。
114	jit	13	quiz	13	D	domain_shell|vai_tro_stub|khop_dap_an	HTMLファイルの拡張子はどれか。
115	jit	15	quiz	15	B	domain_shell|vai_tro_stub|khop_dap_an	ホームページのアドレスのことを（ ）という。
116	jit	16	quiz	16	C	khop_dap_an	Web 2.0という言葉を2004年に提唱したのは誰か。
117	jit	18	quiz	18	C	khop_dap_an	Web2.0について正しくないものをえらんでください。
118	jit	19	quiz	19	C	khop_dap_an	クラウドコンピューティングという言葉を2006年に提唱したのは誰か。
119	jit	21	quiz	21	B	khop_dap_an	メール利用のネチケットとして正しくないものをえらんでください。
120	jit	22	quiz	22	B	domain_shell|vai_tro_stub|khop_dap_an	メールの添付ファイルで即座に削除すべき拡張子はどれか。
121	jit	25	quiz	25	C	khop_dap_an	製品のデザインについての権利を何というか。
122	jit	26	quiz	26	D	khop_dap_an	社名やロゴなどの商標を保護する権利を何というか。
123	jit	29	quiz	29	B	khop_dap_an	第1世代携帯電話の通信方式はどれか。
124	jit	30	quiz	30	C	khop_dap_an	タッチパネルの「静電容量方式」では何を測定するか。
125	jit	33	quiz	33	C	khop_dap_an	タッチパネルの「抵抗膜方式」について正しくないものをえらんでください。
126	jit	34	quiz	34	B	khop_dap_an	CMOSセンサはカメラ内でどのような役割を持つか。
127	jit	35	quiz	35	C	khop_dap_an	FTTH（光ファイバ通信）の最大通信速度はどれか。
128	jit	38	quiz	38	C	domain_shell|vai_tro_stub	【専門知識】次の質問に対して、正しい答えを１つ選びなさい。「電灯線を利用してデータ通信を行う技術」はどれですか。
129	jit	39	quiz	39	C	domain_shell|vai_tro_stub|khop_dap_an	Wi-Fiは何の略か。
130	jit	40	quiz	40	D	khop_dap_an	Bluetoothについて正しくないものをえらんでください。
131	jit	43	quiz	43	B	khop_dap_an	最もよく使われるネットワーク接続形態はどれか。
132	jit	47	quiz	47	C	khop_dap_an	OSI参照モデルは何層構造か。
133	jit	48	quiz	48	C	khop_dap_an	【専門知識】（ ）を圧縮するには、音の波としての性質を使います。
134	jit	49	quiz	49	B	khop_dap_an	「.com」のように種別だけで国名がないのはどの国のドメイン名か。
135	jit	52	quiz	52	D	domain_shell|vai_tro_stub	【専門知識】次の質問に対して、正しい答えを１つ選びなさい。「ユーザが独自にタグを自由に定義して利用できるマークアップ言語」はどれですか。
136	jit	53	quiz	53	C	domain_shell|vai_tro_stub|khop_dap_an	OSI参照モデルのトランスポート層で使用されるプロトコルはどれか。
137	jit	56	quiz	56	B	khop_dap_an	ブラウザがウェブサイトのID情報を自動で記憶する仕組みを何というか。
138	jit	57	quiz	57	D	khop_dap_an	OECD8原則について正しくないものをえらんでください。
139	jit	58	quiz	58	A	domain_shell|vai_tro_stub	【専門用語】次の日本語の用語をベトナム語に直しなさい。 電子商取引
140	jit	64	quiz	64	C	domain_shell|vai_tro_stub|khop_dap_an	並列に接続した2つのシステム（A, B）の稼働率の計算式はどれか。
141	jit	67	quiz	67	D	khop_dap_an	パスワード設定について正しくないものをえらんでください。
142	jit	68	quiz	68	C	khop_dap_an	信頼度成長曲線はどのような形をしているか。
143	jit	69	quiz	69	B	domain_shell|vai_tro_stub|khop_dap_an	RAMの正式名称はどれか。
144	jit	71	quiz	71	B	domain_shell|vai_tro_stub	【専門知識】次の質問に対して、正しい答えを１つ選びなさい。「パソコン内において大きな面積を占めるメインとなる基板のこと」はどれですか。
145	jit	72	quiz	72	C	domain_shell|vai_tro_stub	【専門用語】次の日本語の用語をベトナム語に直しなさい。 演算装置
146	jit	73	quiz	73	D	khop_dap_an	CPUについて正しくないものをえらんでください。
147	jit	74	quiz	74	C	domain_shell|vai_tro_stub|khop_dap_an	コンピュータの第1世代に使用された論理素子はどれか。
148	jit	76	quiz	76	B	khop_dap_an	AND回路のモデルはどれか。
149	jit	78	quiz	78	C	khop_dap_an	論理素子によってコンピュータは何世代に分けられるか。
150	jit	79	quiz	79	C	domain_shell|vai_tro_stub|khop_dap_an	2進数「1100」を10進数に変換すると何か。
151	jit	81	quiz	81	C	domain_shell|vai_tro_stub|khop_dap_an	2進数の加算で「1 + 1」の結果はどれか。
152	jit	83	quiz	83	C	domain_shell|vai_tro_stub|khop_dap_an	情報量の最小単位はどれか。
153	jit	84	quiz	84	B	domain_shell|vai_tro_stub|khop_dap_an	アルファベット1文字の情報量は（ ）である。
154	jit	85	quiz	85	B	khop_dap_an	現在の日本語文字に使われるUnicodeは何個のコード番号を持つか。
155	jit	86	quiz	86	B	domain_shell|vai_tro_stub	【専門用語】次の日本語の用語をベトナム語に直しなさい。 情報量
156	jit	87	quiz	87	C	domain_shell|vai_tro_stub|khop_dap_an	1つの日本語文字（漢字など）を表現するために使用するデータ量は（ ）である。
157	jit	88	quiz	88	B	domain_shell|vai_tro_stub	MIDI（Musical Instrument Digital Interface）命令のデータ量はどれか。
158	jit	90	quiz	90	B	domain_shell|vai_tro_stub|khop_dap_an	CDの音声のサンプリング周波数はどれか。
159	jit	91	quiz	91	B	domain_shell|vai_tro_stub	デジタル画像のVGA解像度として正しいものをえらんでください。
160	jit	92	quiz	92	C	domain_shell|vai_tro_stub|khop_dap_an	RGB各色8 bitで表現する場合、1画素（ピクセル）のデータ量はどれか。
161	jit	94	quiz	94	D	khop_dap_an	動画について正しくないものをえらんでください。
162	jit	95	quiz	95	C	khop_dap_an	日本のテレビ放送における1秒あたりの画面書き換え回数（フレームレート）はいくつか。
163	jit	96	quiz	96	C	domain_shell|vai_tro_stub	通信速度の単位として正しいのはどれか。
164	jit	98	quiz	98	C	domain_shell|vai_tro_stub	【専門用語】次の日本語の用語をベトナム語に直しなさい。 データ圧縮
165	jit	99	quiz	99	B	khop_dap_an	ランレングス圧縮とは、（ ）を記述する画像圧縮方式の1つである。
166	jit	100	quiz	100	D	khop_dap_an	音声情報の圧縮について正しくないものをえらんでください。
167	jit	101	quiz	101	B	domain_shell|vai_tro_stub|khop_dap_an	1 GBは何 MBか。
168	jit	102	quiz	102	B	khop_dap_an	ADSLは何の略か。
169	jit	105	quiz	105	C	domain_shell|vai_tro_stub|khop_dap_an	日本のテレビ放送で使われるフレームレートはいくらか。
170	jit	107	quiz	107	D	domain_shell|vai_tro_stub	【専門用語】次の日本語の用語をベトナム語に直しなさい。 高水準言語
171	jit	108	quiz	108	A	domain_shell|vai_tro_stub|khop_dap_an	dpi（dot per inch）はどの機器の解像度を表すか。
172	jit	109	quiz	109	C	khop_dap_an	ランレングス圧縮について正しくないものをえらんでください。
173	jit	113	quiz	113	B	khop_dap_an	大量のデータを扱うために最も重要なのはどれか。
174	jit	116	quiz	116	B	khop_dap_an	「電気機械式」コンピュータが誕生したのはいつか。
175	jit	117	quiz	117	B	domain_shell|vai_tro_stub|khop_dap_an	【専門知識】（ ）は、データのアクセス速度が最も高速です。
176	jit	118	quiz	118	A	khop_dap_an	密結合マルチプロセッサとはどのような方式か。
177	jit	119	quiz	119	B	khop_dap_an	疎結合マルチプロセッサとはどのような方式か。
178	jit	121	quiz	121	C	khop_dap_an	インターネットでIPアドレスを使って何を特定するか。
179	jit	122	quiz	122	B	khop_dap_an	スカベンジングとはどのような犯罪か。
180	jit	124	quiz	124	D	khop_dap_an	低級言語について正しくないものをえらんでください。
181	jit	125	quiz	125	B	khop_dap_an	長さ、重さ、時間など身の回りの多くの物理量は何か。
182	jit	127	quiz	127	C	khop_dap_an	転置式暗号の特徴はどれか。
183	jit	129	quiz	129	A	khop_dap_an	CPUの動作原理は何に基づいているか。
184	jit	130	quiz	130	B	domain_shell|vai_tro_stub|khop_dap_an	コンピュータのデータは（ ）の並びで表現された数字である。
185	jit	132	sample	1	B	khop_dap_an	スカベンジングといって、残された個人情報を（ ）する犯罪もあります。
186	jit	133	sample	2	A	khop_dap_an	【専門知識】（ ）は、データのアクセス速度が最も高速です。
187	jit	134	sample	3	A	domain_shell|vai_tro_stub|khop_dap_an	アルファベット1文字の情報量はどうなりますか。
188	jit	136	sample	5	D	domain_shell|vai_tro_stub|khop_dap_an	使われる論理素子によって何世代に分けられるか。
189	jit	137	sample	6	D	khop_dap_an	【専門知識】データベースの表現法「データを親、子、孫のような階層構造に並べ、最上位の親からたどることによって検索する表現法です」とはどれですか。
190	jit	138	sample	7	A	khop_dap_an	大量のデータを扱うために、何が重要ですか。
191	jit	139	sample	8	A	khop_dap_an	【専門知識】「.com」のように種別だけで国名がないのはどの国のドメイン名ですか。
192	jit	140	sample	9	A	khop_dap_an	【専門知識】HTMLとは;Hyper Text Markup Languageの略で、文字の（ ）、音、ファイルへのリンクなどが記述できます。
193	jit	141	sample	10	A	khop_dap_an	Web2.0とは何ですか。
194	jit	142	sample	11	C	khop_dap_an	【専門知識】「マウスやキーボードの操作の仕方、ウィンドウの見え方、ファイルの扱い方などを決定します」はOS機能の何の内容を指しますか。
195	jit	143	sample	12	A	khop_dap_an	【専門知識】CPUの動作原理は何に基づいていますか。
196	jit	145	sample	14	C	khop_dap_an	【専門知識】（ ）を圧縮するには、音の波としての性質を使います。
197	jit	146	sample	15	C	domain_shell|vai_tro_stub|khop_dap_an	【専門知識】光ファイバを使って家庭まで高速通信を行うことは何でしょう。
198	jit	147	sample	16	B	khop_dap_an	ランレングス圧縮について正しくないものをえらんでください。
199	jit	150	sample	19	C	domain_shell|vai_tro_stub|khop_dap_an	故障以外で問題なのは、（ ）による不具合です。
200	jit	151	sample	20	B	domain_shell|vai_tro_stub|khop_dap_an	MIDI命令はデータ量としては何ビットとなりますか。
201	jit	152	sample	21	C	khop_dap_an	【専門知識】Web2.0の大きな特徴は何ですか。
202	jit	154	sample	23	D	khop_dap_an	ユーザからの入力は何から行えますか。
203	jit	155	sample	24	A	khop_dap_an	【専門知識】「ヒューマンインタフェースの設計は；（ ）検討時では十分に行えないことが多く；試作プログラムを作ってみて問題点を修正していくというやり方になります。」
204	jit	157	sample	26	A	khop_dap_an	電子式計算機はいつ開発されましたか。
205	jit	159	sample	28	A	khop_dap_an	低級言語について正しくないものをえらんでください。
206	jit	160	sample	29	D	khop_dap_an	長さ、重さ、時間など身の回りの多くの物理量は何ですか。
207	jit	161	sample	30	D	khop_dap_an	IPアドレスについて正しくないものをえらんでください。
208	jit	162	sample	31	B	domain_shell|vai_tro_stub|khop_dap_an	【専門知識】電気機械式はいつ誕生されましたか。
209	jit	165	sample	34	D	khop_dap_an	PCのOSに関する記述のうち、適切なものはどれか。
210	jit	166	sample	35	A	khop_dap_an	コンピュータのデータは何の並びで表現された数字ですか。
211	jit	167	sample	36	C	domain_shell|vai_tro_stub|khop_dap_an	JRのSuicaなどで使われているのは何ですか。
212	jit	168	sample	37	B	khop_dap_an	工業所有権はどんな権ですか。
213	jit	169	sample	38	C	domain_shell|vai_tro_stub|khop_dap_an	携帯電話、パソコン、カーナビ、マウス、キーボード、ヘッドホンなどに搭載されている通信規格は何ですか。
214	jit	171	sample	40	B	khop_dap_an	着信メロディについて正しくないものを選びなさい。
215	jit	173	sample	42	D	domain_shell|vai_tro_stub|khop_dap_an	【専門知識】（ ）とは、インターネット上で提供される各種のサービス・システム・各種のファイルの場所を特定するための記述方式です。
216	jit	176	sample	45	C	khop_dap_an	著作権の特徴はなんですか。
217	jit	177	sample	46	D	khop_dap_an	2つ以上の処理装置が、メモリを共有せずに、それぞれ独立したメモリを持って並列処理を行う方式は何でしょう。
218	jit	178	sample	47	A	khop_dap_an	インターネットでは、IPアドレス（コンピュータの住所にあたる番号）を使って、相手の（ ）を特定します。
219	jit	181	sample	50	D	domain_shell|vai_tro_stub	【専門用語】次の日本語の用語をベトナム語に直しなさい。 高水準言語
220	jit	182	sample	51	C	khop_dap_an	Web2.0について正しくないものをえらんでください。
221	jit	183	sample	52	B	domain_shell|vai_tro_stub|khop_dap_an	【専門知識】1文字を表現するために、16ビット（2バイト）のデータ量を使用する文字コードは何ですか。
222	jit	315	slides	295	B	khop_dap_an	スカベンジングといって、残された個人情報を（ ）する犯罪もあります。
223	jit	316	slides	297	A	khop_dap_an	【専門知識】「.com」のように種別だけで国名がないのはどの国のドメイン名ですか。
224	jit	317	slides	298	A	khop_dap_an	【専門知識】HTMLとは;Hyper Text Markup Languageの略で、文字の（ ）、音、ファイルへのリンクなどが記述できます。
225	jit	318	slides	299	A	khop_dap_an	Web2.0とは何ですか。
226	jit	319	slides	300	C	khop_dap_an	【専門知識】「マウスやキーボードの操作の仕方、ウィンドウの見え方、ファイルの扱い方などを決定します」はOS機能の何の内容を指しますか。
227	jit	320	slides	301	A	khop_dap_an	【専門知識】CPUの動作原理は何に基づいていますか。
228	jit	321	slides	303	C	domain_shell|vai_tro_stub|khop_dap_an	【専門知識】光ファイバを使って家庭まで高速通信を行うことは何でしょう。
229	jit	324	slides	306	C	khop_dap_an	【専門知識】Web2.0の大きな特徴は何ですか。
230	jit	325	slides	307	D	khop_dap_an	ユーザからの入力は何から行えますか。
231	jit	326	slides	308	A	khop_dap_an	【専門知識】「ヒューマンインタフェースの設計は；（ ）検討時では十分に行えないことが多く；試作プログラムを作ってみて問題点を修正していくというやり方になります。」
232	jit	327	slides	309	B	domain_shell|vai_tro_stub|khop_dap_an	【専門知識】電気機械式はいつ誕生されましたか。
233	jit	330	slides	312	B	khop_dap_an	着信メロディについて正しくないものを選びなさい。
234	jit	331	slides	321	B	domain_shell|vai_tro_stub	【専門用語】ジョン・モークリー（John Mauchly） の意味として最も適切なものはどれか。
235	jit	332	slides	322	C	domain_shell|vai_tro_stub	【専門用語】パス（path） の意味として最も適切なものはどれか。
236	jit	333	slides	323	C	domain_shell|vai_tro_stub	【専門用語】ライプニッツの乗算機（Leibniz のじょうさんき） の意味として最も適切なものはどれか。
237	jit	334	slides	324	A	domain_shell|vai_tro_stub	【専門用語】フォン・ノイマン（John von Neumann） の意味として最も適切なものはどれか。
238	jit	335	slides	325	C	domain_shell|vai_tro_stub	【専門用語】ファイル（file） の意味として最も適切なものはどれか。
239	jit	336	slides	326	B	domain_shell|vai_tro_stub	【専門用語】汎用計算機（はんようけいさんき） の意味として最も適切なものはどれか。
240	jit	337	slides	327	C	domain_shell|vai_tro_stub	【専門用語】アプリケーション（a pplication） の意味として最も適切なものはどれか。
241	jit	338	slides	328	B	domain_shell|vai_tro_stub	【専門用語】子供のフォルダ（こどもの folder） の意味として最も適切なものはどれか。
242	jit	349	slides	339	A	domain_shell|vai_tro_stub	【専門用語】不公平（ふこうへい） の意味として最も適切なものはどれか。
