subject,id,task,num,severity,flags,question
fe,42,test,42,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Cấu trúc dữ liệu nào phù hợp nhất để xử lý lời gọi hàm đệ quy?"
fe,43,test,43,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which file organization method stores records in the order they are received, without any sorting?"
fe,44,test,44,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which processing system concentrates all processing tasks on one central computer?"
fe,45,test,45,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which of the following is an appropriate description of the role of a reverse proxy?"
fe,46,test,46,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which of the following is an appropriate explanation of OP25B?"
fe,47,test,47,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which multimedia element represents moving visual content?"
fe,48,test,48,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Thuật toán nào có ý tưởng đẩy phần tử lớn nhất về cuối dãy sau mỗi lượt quét?"
fe,49,test,49,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","What is the value of hexadecimal number A in decimal notation?"
fe,50,test,50,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","What is response time in system evaluation?"
fe,51,test,51,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub","Which of the following is a secure protocol that combines an authentication function between a client and a server with an encryption function for communication"
fe,52,test,52,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which of the following is an appropriate description concerning antivirus software?"
fe,53,test,53,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","What is the main advantage of semiconductor memory over magnetic disks?"
fe,54,test,54,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Thuật toán nào không yêu cầu dữ liệu được sắp xếp trước?"
fe,55,test,55,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","Which of the following is an appropriate description of information security policy?"
fe,56,test,56,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which of the following best describes an assembler?"
fe,57,test,57,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","When an internal user of a company forgets the password, which of the following is an appropriate action a security administrator should take after the identity"
fe,58,test,58,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which number system uses digits from 0 to 7?"
fe,59,test,59,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","A database file contains one million records. Users frequently retrieve records using a unique customer ID. Which file organization method provides the fastest "
fe,60,test,60,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","According to ISO/IEC 27001 (JIS Q 27001), which of the following is the definition of availability in information security?"
fe,61,test,61,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which of the following is an appropriate explanation of TDM that is one of the multiplexing techniques?"
fe,62,test,62,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_khop_dap_an_tail","Among the descriptions concerning devices that constitute a network, which of the following is an explanation concerning the CCU (Communication Control Unit)?"
fe,63,test,63,P0,"banned_phrase;whyWrong_khop_dap_an_tail","Which of the following is an appropriate description of WPA?"
fe,64,test,64,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which of the following is the action that corresponds to social engineering?"
fe,65,test,65,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","What is the purpose of human interface technology?"
fe,66,test,66,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which memory loses its contents when power is turned off?"
fe,67,test,67,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","A software system must support multiple users accessing files simultaneously while preventing conflicting updates. Which of the following is an appropriate func"
fe,68,bank300,1,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","How many bits are in one byte?"
fe,69,bank300,2,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","What is the smallest unit of data in a computer?"
fe,70,bank300,3,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which generation introduced VLSI?"
fe,71,bank300,4,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","First-generation logic device?"
fe,72,bank300,5,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Non-volatile storage example?"
fe,73,bank300,6,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which memory loses data when power is off?"
fe,74,bank300,7,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Main memory is typically which type?"
fe,75,bank300,8,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Cache is usually implemented with?"
fe,76,bank300,9,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Hexadecimal digit A in decimal?"
fe,77,bank300,10,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Number system using digits 0-7?"
fe,78,bank300,11,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","8-bit two's complement 11101010 equals?"
fe,79,bank300,12,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Two's complement of negative: method?"
fe,80,bank300,13,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Range of n-bit 2's complement?"
fe,81,bank300,14,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","International multilingual character code?"
fe,82,bank300,15,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","CPU = which units?"
fe,83,bank300,16,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Which is a peripheral device?"
fe,84,bank300,17,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Register is inside CPU: peripheral?"
fe,85,bank300,18,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Auxiliary storage characteristic?"
fe,86,bank300,19,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","Advantage of semiconductor memory vs magnetic disk?"
fe,87,bank300,20,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","Access time of disk includes?"
fe,88,bank300,21,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","RAID 1 main feature?"
fe,89,bank300,22,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","RAID 0 main feature?"
fe,90,bank300,23,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Instruction cycle order?"
fe,91,bank300,24,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","PC register holds?"
fe,92,bank300,25,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Pipeline hazard types?"
fe,93,bank300,26,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","DMA purpose?"
fe,94,bank300,27,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","1 KB in traditional binary memory?"
fe,95,bank300,28,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Information amount with n bits?"
fe,96,bank300,29,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","BCD means?"
fe,97,bank300,30,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","FPGA characteristic?"
fe,98,bank300,31,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Jobs executed collectively without user interaction?"
fe,99,bank300,32,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Payroll once a month best system?"
fe,100,bank300,33,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Airline reservation immediate response?"
fe,101,bank300,34,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Hard real-time example idea?"
fe,102,bank300,35,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","All processing on one central computer?"
fe,103,bank300,36,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Reliability series R=0.95 and 0.90?"
fe,104,bank300,37,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Parallel reliability formula idea?"
fe,105,bank300,38,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Availability formula?"
fe,106,bank300,39,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","What is response time?"
fe,107,bank300,40,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","What is throughput?"
fe,108,bank300,41,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","ACID: A means?"
fe,109,bank300,42,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Purpose of interface design?"
fe,110,bank300,43,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Why user-friendly UI?"
fe,111,bank300,44,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Purpose of human interface technology?"
fe,112,bank300,45,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Video multimedia means?"
fe,113,bank300,46,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Fail-safe means?"
fe,114,bank300,47,P0,"banned_phrase;whyWrong_khop_dap_an_tail","Hot standby means?"
fe,115,bank300,48,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Intermediary between apps and OS?"
fe,116,bank300,49,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","Compiler translates how?"
fe,117,bank300,50,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","Interpreter advantage vs compiler?"
fe,118,bank300,51,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Language closest to machine with mnemonics?"
fe,119,bank300,52,P0,"banned_phrase;cum_can_doi_chieu;whyWrong_khop_dap_an_tail","Assembler does what?"
fe,120,bank300,53,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub","Combines object modules into executable?"
fe,121,bank300,54,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Loads program into memory?"
fe,122,bank300,55,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Software in ROM after power off?"
fe,123,bank300,56,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Allow view/modify/redistribute source?"
fe,124,bank300,57,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Free use without fee legally for OSS category?"
fe,125,bank300,58,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","OS function deciding CPU time for process?"
fe,128,bank300,61,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Scheduling that may starve long jobs?"
fe,129,bank300,62,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Round Robin reduces?"
fe,130,bank300,63,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Coffman conditions count?"
fe,131,bank300,64,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Eliminate which condition to prevent deadlock (common)?"
fe,132,bank300,65,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Kernel modes?"
fe,133,bank300,66,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Microkernel vs monolithic?"
fe,134,bank300,67,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Virtual memory page fault?"
fe,135,bank300,68,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Thrashing?"
fe,136,bank300,69,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Reentrant program?"
fe,137,bank300,70,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","File organization fastest by unique ID?"
fe,138,bank300,71,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","File stores in arrival order unsorted?"
fe,139,bank300,72,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Sequential file good for?"
fe,140,bank300,73,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Backup types?"
fe,141,bank300,74,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","OS multi-user concurrent files function?"
fe,142,bank300,75,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","SQL remove table definition and data?"
fe,143,bank300,76,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","DELETE vs DROP?"
fe,144,bank300,77,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","1NF means?"
fe,145,bank300,78,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","2NF means?"
fe,146,bank300,79,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","3NF means?"
fe,147,bank300,80,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Primary key ensures?"
fe,148,bank300,81,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Foreign key ensures?"
fe,149,bank300,82,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","ACID D means?"
fe,150,bank300,83,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Selection relational op?"
fe,151,bank300,84,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","Projection relational op?"
fe,152,bank300,85,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","JOIN does?"
fe,153,bank300,86,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","Data warehouse vs OLTP?"
fe,154,bank300,87,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;cum_can_doi_chieu;whyWrong_role_stub;whyWrong_khop_dap_an_tail","2PC used for?"
fe,155,bank300,88,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","OSI layer for routing?"
fe,156,bank300,89,P0,"banned_phrase;filler_phrase;generic_concept;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","OSI layer for end-to-end reliability?"
fe,157,bank300,90,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","OSI layer frames/MAC?"
fe,158,bank300,91,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub","DNS role?"
fe,159,bank300,92,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_khop_dap_an_tail","DHCP role?"
fe,161,bank300,94,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","HTTP port commonly?"
fe,162,bank300,95,P0,"banned_phrase;filler_phrase;domain_placeholder_shell;whyWrong_role_stub;whyWrong_khop_dap_an_tail","TDM explanation?"
